Data from series

National Total. All ages. Total. Population. Number. 
Series,ECP320
Periodicity,Quarterly
Unit,Persons
DATA
PERIOD,VALUE,DATA TYPE,NOTE
2025QI,49,077,984,Provisional value,
2024QIV,48,962,372,Provisional value,
2024QIII,48,807,137,Provisional value,
2024QII,48,723,872,Provisional value,
2024QI,48,619,695,Final value,
2023QIV,48,486,865,Final value,
2023QIII,48,320,520,Final value,
2023QII,48,205,962,Final value,
2023QI,48,085,361,Final value,
2022QIV,47,940,295,Final value,
2022QIII,47,781,354,Final value,
2022QII,47,609,145,Final value,
2022QI,47,486,727,Final value,
2021QIV,47,424,595,Final value,
2021QIII,47,346,836,Final value,
2021QII,47,356,065,Final value,
2021QI,47,400,798,Final value,
2020QIII,47,344,852,Final value,
2020QI,47,318,050,Final value,
2019QIII,47,087,778,Final value,
2019QI,46,918,951,Final value,
2018QIII,46,715,383,Final value,
2018QI,46,645,070,Final value,
2017QIII,46,510,461,Final value,
2017QI,46,497,393,Final value,
2016QIII,46,427,100,Final value,
2016QI,46,418,884,Final value,
2015QIII,46,384,379,Final value,
2015QI,46,425,722,Final value,
2014QIII,46,433,050,Final value,
2014QI,46,495,744,Final value,
2013QIII,46,581,124,Final value,
2013QI,46,712,650,Final value,
2012QIII,46,749,303,Final value,
2012QI,46,818,216,Final value,
2011QIII,46,736,257,Final value,
2011QI,46,667,175,Final value,
2010QIII,46,562,483,Final value,
2010QI,46,486,621,Final value,
2009QIII,46,367,550,Final value,
2009QI,46,239,271,Final value,
2008QIII,45,983,169,Final value,
2008QI,45,668,938,Final value,
2007QIII,45,236,004,Final value,
2007QI,44,784,659,Final value,
2006QIII,44,360,521,Final value,
2006QI,44,009,969,Final value,
2005QIII,43,662,613,Final value,
2005QI,43,296,335,Final value,
2004QIII,42,859,172,Final value,
2004QI,42,547,454,Final value,
2003QIII,42,196,231,Final value,
2003QI,41,827,836,Final value,
2002QIII,41,423,520,Final value,
2002QI,41,035,271,Final value,
2001QIII,40,766,049,Final value,
2001QI,40,665,545,Final value,
2000QIII,40,554,387,Final value,
2000QI,40,470,182,Final value,
1999QIII,40,369,667,Final value,
1999QI,40,303,568,Final value,
1998QIII,40,214,066,Final value,
1998QI,40,143,449,Final value,
1997QIII,40,049,974,Final value,
1997QI,39,971,329,Final value,
1996QIII,39,884,246,Final value,
1996QI,39,808,374,Final value,
1995QIII,39,718,895,Final value,
1995QI,39,639,726,Final value,
1994QIII,39,547,353,Final value,
1994QI,39,458,489,Final value,
1993QIII,39,356,082,Final value,
1993QI,39,264,034,Final value,
1992QIII,39,147,940,Final value,
1992QI,39,051,336,Final value,
1991QIII,38,941,622,Final value,
1991QI,38,881,416,Final value,
1990QIII,38,860,827,Final value,
1990QI,38,853,227,Final value,
1989QIII,38,821,377,Final value,
1989QI,38,802,300,Final value,
1988QIII,38,764,307,Final value,
1988QI,38,731,578,Final value,
1987QIII,38,682,322,Final value,
1987QI,38,638,052,Final value,
1986QIII,38,571,941,Final value,
1986QI,38,531,195,Final value,
1985QIII,38,467,025,Final value,
1985QI,38,407,829,Final value,
1984QIII,38,325,244,Final value,
1984QI,38,252,899,Final value,
1983QIII,38,160,263,Final value,
1983QI,38,090,151,Final value,
1982QIII,37,987,108,Final value,
1982QI,37,881,873,Final value,
1981QIII,37,764,458,Final value,
1981QI,37,635,389,Final value,
1980QIII,37,493,072,Final value,
1980QI,37,346,940,Final value,
1979QIII,37,194,315,Final value,

Data item: .. Data not available
Data item: - Protected by statistical secrecy
